Date,SPY,QQQ,IWM,GLD,TLT
2015-01-02,169.68788146972656,94.5611572265625,102.54313659667969,114.08000183105469,91.93519592285156
2015-01-05,166.6233367919922,93.174072265625,101.17220306396484,115.80000305175781,93.37942504882812
2015-01-06,165.05392456054688,91.92472839355469,99.42190551757812,117.12000274658203,95.06184387207031
2015-01-07,167.11068725585938,93.10977935791016,100.64625549316406,116.43000030517578,94.8741226196289
2015-01-08,170.07608032226562,94.89185333251953,102.35342407226562,115.94000244140625,93.61766052246094
2015-01-09,168.71315002441406,94.26716613769531,101.37051391601562,117.26000213623047,94.64303588867188
2015-01-12,167.39151000976562,93.2843017578125,101.03425598144531,118.55999755859375,95.18460845947266
2015-01-13,166.9207305908203,93.25672149658203,101.1118392944336,118.16000366210938,95.18460845947266
2015-01-14,165.9129180908203,92.74227905273438,100.7066421508789,117.97000122070312,95.90668487548828
2015-01-15,164.3931427001953,91.5389404296875,99.00804138183594,120.94000244140625,97.41578674316406
2015-01-16,166.5489959716797,92.61371612548828,100.62036895751953,122.5199966430664,96.17383575439453
2015-01-20,166.90414428710938,93.3486099243164,100.19789123535156,124.19999694824219,97.45196533203125
2015-01-21,167.7467041015625,93.82626342773438,99.8788833618164,124.2300033569336,96.32547760009766
2015-01-22,170.2412872314453,95.56242370605469,101.91371154785156,125.2300033569336,95.97889709472656
2015-01-23,169.307861328125,95.77373504638672,101.84474182128906,124.2300033569336,97.31473541259766
2015-01-26,169.70440673828125,95.66345977783203,102.82766723632812,122.98999786376953,97.01869201660156
2015-01-27,167.46591186523438,93.18323516845703,102.33621215820312,124.4000015258789,97.17033386230469
2015-01-28,165.31820678710938,92.70555114746094,100.61177825927734,123.41999816894531,98.75889587402344
2015-01-29,166.84637451171875,93.59661102294922,101.99995422363281,120.76000213623047,98.10900115966797
2015-01-30,164.748291015625,92.87091827392578,99.7581558227539,123.44999694824219,99.84920501708984
2015-02-02,166.7885284423828,93.67929077148438,100.67212677001953,122.41999816894531,99.47225189208984
2015-02-03,169.2004852294922,94.57950592041016,102.47413635253906,121.05000305175781,97.36679077148438
2015-02-04,168.55615234375,94.49685668945312,102.09477996826172,121.58000183105469,97.53312683105469
2015-02-05,170.2578125,95.31439971923828,103.41395568847656,121.79000091552734,96.46236419677734
2015-02-06,169.7869415283203,94.7356948852539,103.30186462402344,118.63999938964844,94.75479125976562
2015-02-09,169.0270538330078,94.43256378173828,102.48277282714844,119.16999816894531,94.60285949707031
2015-02-10,170.82774353027344,95.90232849121094,103.1380386352539,118.47000122070312,93.85037994384766
2015-02-11,170.9268341064453,96.25138854980469,102.99149322509766,117.06999969482422,94.02401733398438
2015-02-12,172.57064819335938,97.37206268310547,104.1640853881836,117.33999633789062,93.71292114257812
2015-02-13,173.28099060058594,98.20801544189453,104.7848892211914,117.9800033569336,92.75057983398438
2015-02-17,173.55355834960938,98.29988098144531,105.11251831054688,116.01000213623047,91.35415649414062
2015-02-18,173.57009887695312,98.43765258789062,105.22459411621094,116.33999633789062,91.89680480957031
2015-02-19,173.44619750976562,98.92451477050781,105.23323059082031,115.94000244140625,91.28907012939453
2015-02-20,174.48696899414062,99.58592224121094,105.51776885986328,115.27999877929688,91.5567626953125
2015-02-23,174.46218872070312,99.68695831298828,105.62124633789062,115.43000030517578,92.60586547851562
