,CAGR,Ann.Vol,Sharpe,Sortino,MaxDD,Calmar
Buy&Hold,-0.01,0.148,0.009,0.013,-0.484,-0.02
MA 20/100,0.019,0.104,0.233,0.241,-0.188,0.101
TSMOM 12m,-0.029,0.095,-0.264,-0.239,-0.405,-0.072
TSMOM + VolTarget,-0.028,0.08,-0.318,-0.306,-0.393,-0.072
