,CAGR,Ann.Vol,Sharpe,Sortino,MaxDD,Calmar
EqualWeight B&H,0.115,0.126,0.93,1.204,-0.255,0.45
XS Momentum top2,0.106,0.154,0.731,0.935,-0.283,0.374
