,CAGR,Ann.Vol,Sharpe,Sortino,MaxDD,Calmar
Buy&Hold,0.139,0.176,0.828,1.014,-0.337,0.411
MA 20/100,0.076,0.122,0.666,0.698,-0.221,0.346
TSMOM 12m,0.086,0.134,0.687,0.686,-0.316,0.273
TSMOM + VolTarget,0.09,0.11,0.839,0.916,-0.173,0.52
