,CAGR,Ann.Vol,Sharpe,Sortino,MaxDD,Calmar
Buy&Hold,0.115,0.162,0.754,1.016,-0.264,0.437
MA 20/100,0.097,0.137,0.744,0.766,-0.192,0.504
TSMOM 12m,0.065,0.145,0.51,0.55,-0.355,0.184
TSMOM + VolTarget,0.053,0.117,0.499,0.55,-0.349,0.151
