,CAGR,Ann.Vol,Sharpe,Sortino,MaxDD,Calmar
Buy&Hold,0.19,0.219,0.904,1.167,-0.351,0.542
MA 20/100,0.107,0.168,0.689,0.719,-0.286,0.374
TSMOM 12m,0.126,0.184,0.741,0.798,-0.315,0.401
TSMOM + VolTarget,0.113,0.129,0.892,1.019,-0.175,0.644
